X,Y,OBJECTID,SCHOOL_NAME,SCHOOL_TYPE,TYPE_DESC,GRADES,ADDRESS,CITY,ZIP,WEB_ADDRESS,PHONE,REGION,SCH_YR,CreationDate,Creator,EditDate,Editor
-77.38727127,38.99645542,4052,DRANESVILLE,ES,Elementary School,K-6,1515 POWELLS TAVERN PL,HERNDON,20170,https://dranesvillees.fcps.edu/,7033265200,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.33796507,38.97975553,4053,ALDRIN,ES,Elementary School,K-6,11375 CENTER HARBOR RD,RESTON,20194,https://aldrines.fcps.edu/,7039043800,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.35834472,38.98020973,4054,ARMSTRONG,ES,Elementary School,K-6,11900 LAKE NEWPORT RD,RESTON,20194,https://armstronges.fcps.edu/,7033754800,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.19522275,38.90396955,4055,LEMON ROAD,ES,Elementary School,K-6,7230 IDYLWOOD RD,FALLS CHURCH,22043,https://lemonroades.fcps.edu/,7037146400,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.2296011,38.91132891,4056,FREEDOM HILL,ES,Elementary School,K-6,1945 LORD FAIRFAX RD,VIENNA,22182,https://freedomhilles.fcps.edu/,7035067800,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.40883749,38.91311046,4057,OAK HILL,ES,Elementary School,K-6,3210 KINROSS CIR,HERNDON,20171,https://oakhilles.fcps.edu/,7034673500,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.37678635,38.97592138,4058,HERNDON,ES,Elementary School,K-6,630 DRANESVILLE RD,HERNDON,20170,https://herndones.fcps.edu/,7033263100,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.39121316,38.98370017,4059,CLEARVIEW,ES,Elementary School,K-6,12635 BUILDERS RD,HERNDON,20170,https://clearviewes.fcps.edu/,7037086000,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.32954991,38.96885216,4060,FOREST EDGE,ES,Elementary School,K-6,1501 BECONTREE LN,RESTON,20190,https://forestedgees.fcps.edu/,7039258000,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.40691377,38.9612876,4061,HUTCHISON,ES,Elementary School,K-6,13209 PARCHER AVE,HERNDON,20170,https://hutchisones.fcps.edu/,7039258300,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.18343489,38.86265788,4062,WESTLAWN,ES,Elementary School,K-6,3200 WESTLEY RD,FALLS CHURCH,22042,https://westlawnes.fcps.edu/,7032415100,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.20874903,38.87071622,4063,PINE SPRING,ES,Elementary School,K-6,7607 WILLOW LN,FALLS CHURCH,22042,https://pinespringes.fcps.edu/,5712264400,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.2479493,38.86977897,4064,FAIRHILL,ES,Elementary School,K-6,3001 CHICHESTER LN,FAIRFAX,22031,https://fairhilles.fcps.edu/,7032088100,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.2779609,38.89854576,4065,LOUISE ARCHER,ES,Elementary School,K-6,324 NUTLEY ST NW,VIENNA,22180,https://archeres.fcps.edu/,7039376200,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.37890886,38.88925408,4066,NAVY,ES,Elementary School,K-6,3500 WEST OX RD,FAIRFAX,22033,https://navyes.fcps.edu/,7032627100,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.41101621,38.89036408,4067,LEES CORNER,ES,Elementary School,K-6,13500 HOLLINGER AVE,FAIRFAX,22033,https://leescorneres.fcps.edu/,7032273500,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.20591617,38.88878273,4068,SHREVEWOOD,ES,Elementary School,K-6,7525 SHREVE RD,FALLS CHURCH,22043,https://shrevewoodes.fcps.edu/,7036456600,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.19794592,38.87976929,4069,TIMBER LANE,ES,Elementary School,K-6,2737 WEST ST,FALLS CHURCH,22046,https://timberlanees.fcps.edu/,7032065300,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.19080908,38.87654117,4070,GRAHAM ROAD,ES,Elementary School,K-6,2831 GRAHAM RD,FALLS CHURCH,22042,https://grahamroades.fcps.edu/,5712262700,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.22950319,38.88469241,4071,STENWOOD,ES,Elementary School,K-6,2620 GALLOWS RD,VIENNA,22180,https://stenwoodes.fcps.edu/,7032087600,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.24561887,38.92112667,4072,WESTBRIAR,ES,Elementary School,K-6,1741 PINE VALLEY DR,VIENNA,22182,https://westbriares.fcps.edu/,7039371700,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.26653512,38.91764587,4073,WOLFTRAP,ES,Elementary School,K-6,1903 BEULAH RD,VIENNA,22182,https://wolftrapes.fcps.edu/,7033197300,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3822713,38.92803649,4074,FOX MILL,ES,Elementary School,K-6,2611 VIKING DR,HERNDON,20171,https://foxmilles.fcps.edu/,7032622700,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.16552723,38.81981386,4075,WEYANOKE,ES,Elementary School,K-5,6520 BRADDOCK RD,ALEXANDRIA,22312,https://weyanokees.fcps.edu/,7038135400,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.17617939,38.82916782,4076,COLUMBIA,ES,Elementary School,K-6,6720 ALPINE DR,ANNANDALE,22003,https://columbiaes.fcps.edu/,7039162500,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.20819723,38.82723526,4077,ANNANDALE TERRACE,ES,Elementary School,K-5,7604 HERALD ST,ANNANDALE,22003,https://annandaleterracees.fcps.edu/,7036585600,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.21554014,38.82227236,4078,BRADDOCK,ES,Elementary School,K-5,7825 HERITAGE DR,ANNANDALE,22003,https://braddockes.fcps.edu/,7039147300,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.26659422,38.82618009,4079,LITTLE RUN,ES,Elementary School,K-6,4511 OLLEY LN,FAIRFAX,22032,https://littlerunes.fcps.edu/,7035033500,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.27662578,38.83117463,4080,OLDE CREEK,ES,Elementary School,K-6,9524 OLD CREEK DR,FAIRFAX,22032,https://oldecreekes.fcps.edu/,7034263100,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.37989083,38.83188259,4081,WILLOW SPRINGS,ES,Elementary School,K-6,5400 WILLOW SPRINGS SCHOOL RD,FAIRFAX,22030,https://willowspringses.fcps.edu/,7036796000,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.41763138,38.82043805,4082,UNION MILL,ES,Elementary School,K-6,13611 SPRINGSTONE DR,CLIFTON,20124,https://unionmilles.fcps.edu/,7033228500,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.44064918,38.81966259,4083,CENTREVILLE,ES,Elementary School,K-6,14330 GREEN TRAILS BLVD,CENTREVILLE,20121,https://centrevillees.fcps.edu/,7035023500,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.44556713,38.82579357,4084,CENTRE RIDGE,ES,Elementary School,K-6,14400 NEW BRADDOCK RD,CENTREVILLE,20121,https://centreridgees.fcps.edu/,7032272600,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.4755281,38.82866285,4085,BULL RUN,ES,Elementary School,K-6,15301 LEE HWY,CENTREVILLE,20121,https://bullrunes.fcps.edu/,7032271400,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.28607438,38.86989521,4086,MOSAIC,ES,Elementary School,K-6,9819 FIVE OAKS RD,FAIRFAX,22031,https://mosaices.fcps.edu/,7039371600,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.32567311,38.86406471,4087,PROVIDENCE,ES,Elementary School,K-6,3616 JERMANTOWN RD,FAIRFAX,22030,https://providencees.fcps.edu/,7034604400,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.39439258,38.87142136,4088,GREENBRIAR EAST,ES,Elementary School,K-6,13006 POINT PLEASANT DR,FAIRFAX,22033,https://greenbriareastes.fcps.edu/,7036336400,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.41482634,38.86276533,4089,POPLAR TREE,ES,Elementary School,K-6,13440 MELVILLE LN,CHANTILLY,20151,https://poplartreees.fcps.edu/,7036337400,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.45851685,38.86571812,4090,CUB RUN,ES,Elementary School,K-6,5301 SULLY STATION DR,CENTREVILLE,20120,https://cubrunes.fcps.edu/,7036337500,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.18108546,38.85294658,4091,BEECH TREE,ES,Elementary School,K-5,3401 BEECHTREE LN,FALLS CHURCH,22042,https://beechtreees.fcps.edu/,7035312600,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.16870614,38.8558014,4092,SLEEPY HOLLOW,ES,Elementary School,K-5,3333 SLEEPY HOLLOW RD,FALLS CHURCH,22044,https://sleepyhollowes.fcps.edu/,7032377000,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.25008173,38.89229702,4093,CUNNINGHAM PARK,ES,Elementary School,K-6,1001 PARK ST SE ,VIENNA,22180,https://cunninghamparkes.fcps.edu/,7032555600,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.26326732,38.90114638,4094,VIENNA,ES,Elementary School,K-6,128 CENTER ST S,VIENNA,22180,https://viennaes.fcps.edu/,7039376000,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.28477052,38.89607556,4095,FLINT HILL,ES,Elementary School,K-6,2444 FLINT HILL RD,VIENNA,22181,https://flinthilles.fcps.edu/,7032426100,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.26662762,38.88226359,4096,MARSHALL ROAD,ES,Elementary School,K-6,730 MARSHALL RD SW,VIENNA,22180,https://marshallroades.fcps.edu/,7039371500,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.3042828,38.88018799,4097,OAKTON,ES,Elementary School,K-6,3000 CHAIN BRIDGE RD,OAKTON,22124,https://oaktones.fcps.edu/,7039376100,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.34478419,38.87638305,4098,WAPLES MILL,ES,Elementary School,K-6,11509 WAPLES MILL RD,OAKTON,22124,https://waplesmilles.fcps.edu/,7033907700,1,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.40565212,38.876338,4099,GREENBRIAR WEST,ES,Elementary School,K-6,13300 POPLAR TREE RD,FAIRFAX,22033,https://greenbriarwestes.fcps.edu/,7036336700,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.41927372,38.88239718,4100,BROOKFIELD,ES,Elementary School,K-6,4200 LEES CORNER RD,CHANTILLY,20151,https://brookfieldes.fcps.edu/,7038148700,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.32354098,38.8399871,4101,FAIRFAX VILLA,ES,Elementary School,K-6,10900 SANTA CLARA DR,FAIRFAX,22030,https://fairfaxvillaes.fcps.edu/,7032672800,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.40799053,38.84614838,4102,POWELL,ES,Elementary School,K-6,13340 LELAND RD,CENTREVILLE,20120,https://powelles.fcps.edu/,5715226000,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.30975181,38.80407576,4103,BONNIE BRAE,ES,Elementary School,K-6,5420 SIDEBURN RD,FAIRFAX,22032,https://bonniebraees.fcps.edu/,7033213900,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.32456453,38.79768615,4104,FAIRVIEW,ES,Elementary School,K-6,5815 OX RD,FAIRFAX STATION,22039,https://fairviewes.fcps.edu/,7035033700,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.07958975,38.78509464,4105,MOUNT EAGLE,ES,Elementary School,K-6,6116 N KINGS HWY,ALEXANDRIA,22303,https://mounteaglees.fcps.edu/,7037212100,3,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.11735262,38.78191071,4106,ROSE HILL,ES,Elementary School,K-6,6301 ROSE HILL DR,ALEXANDRIA,22310,https://rosehilles.fcps.edu/,7033134200,3,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.29801712,38.78547528,4107,TERRA CENTRE,ES,Elementary School,K-6,6000 BURKE CENTRE PKWY,BURKE,22015,https://terracentrees.fcps.edu/,7032491400,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.0610355,38.77196003,4108,BELLE VIEW,ES,Elementary School,K-6,6701 FORT HUNT RD,ALEXANDRIA,22307,https://belleviewes.fcps.edu/,7036608300,3,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.07404406,38.76658524,4109,BUCKNELL,ES,Elementary School,K-6,6925 UNIVERSITY DR,ALEXANDRIA,22307,https://bucknelles.fcps.edu/,7036602900,3,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.09497455,38.76880536,4110,GROVETON,ES,Elementary School,K-6,6900 HARRISON LN,ALEXANDRIA,22306,https://grovetones.fcps.edu/,7037188000,3,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.16958415,38.77625046,4111,FORESTDALE,ES,Elementary School,K-6,6530 ELDER AVE,SPRINGFIELD,22150,https://forestdalees.fcps.edu/,7033134300,3,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.18993093,38.7775188,4112,GARFIELD,ES,Elementary School,K-6,7101 OLD KEENE MILL RD,SPRINGFIELD,22150,https://garfieldes.fcps.edu/,7039232900,3,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.21925441,38.76923733,4113,WEST SPRINGFIELD,ES,Elementary School,K-6,6802 DELAND DR,SPRINGFIELD,22152,https://westspringfieldes.fcps.edu/,7039133800,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.23142501,38.7689225,4114,ROLLING VALLEY,ES,Elementary School,K-6,6703 BARNACK DR,SPRINGFIELD,22152,https://rollingvalleyes.fcps.edu/,7039232700,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.25545516,38.76587203,4115,ORANGE HUNT,ES,Elementary School,K-6,6820 SYDENSTRICKER RD,SPRINGFIELD,22152,https://orangehuntes.fcps.edu/,7039136800,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.28441958,38.76806798,4116,CHERRY RUN,ES,Elementary School,K-6,9732 IRONMASTER DR,BURKE,22015,https://cherryrunes.fcps.edu/,7039232800,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.07169238,38.75048139,4117,HOLLIN MEADOWS,ES,Elementary School,K-6,2310 NORDOK PL,ALEXANDRIA,22306,https://hollinmeadowses.fcps.edu/,7037188300,3,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.08963519,38.758987,4118,HYBLA VALLEY,ES,Elementary School,K-6,3415 LOCKHEED BLVD,ALEXANDRIA,22306,https://hyblavalleyes.fcps.edu/,7037187000,3,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.15733432,38.76108059,4119,LANE,ES,Elementary School,K-6,7137 BEULAH ST,ALEXANDRIA,22315,https://lanees.fcps.edu/,7039247700,3,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.24366593,38.76209404,4120,HUNT VALLEY,ES,Elementary School,K-6,7107 SYDENSTRICKER RD,SPRINGFIELD,22152,https://huntvalleyes.fcps.edu/,7039138800,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.27248195,38.75516388,4121,SANGSTER,ES,Elementary School,K-6,7420 RESERVATION DR,SPRINGFIELD,22153,https://sangsteres.fcps.edu/,7036448200,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.29585379,38.81403786,4122,LAUREL RIDGE,ES,Elementary School,K-6,10110 COMMONWEALTH BLVD,FAIRFAX,22032,https://laurelridgees.fcps.edu/,7034263700,4,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.30984172,38.81884245,4123,OAK VIEW,ES,Elementary School,K-6,5004 SIDEBURN RD,FAIRFAX,22032,https://oakviewes.fcps.edu/,7037647100,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.09136733,38.80018461,4124,CAMERON,ES,Elementary School,K-6,3434 CAMPBELL DR,ALEXANDRIA,22303,https://camerones.fcps.edu/,7033292100,3,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.11119084,38.79488685,4125,CLERMONT,ES,Elementary School,K-6,5720 CLERMONT DR,ALEXANDRIA,22310,https://clermontes.fcps.edu/,7039212400,3,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.18583977,38.79210898,4126,LYNBROOK,ES,Elementary School,K-6,5801 BACKLICK RD,SPRINGFIELD,22150,https://lynbrookes.fcps.edu/,7038662940,3,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.20716222,38.80156721,4127,NORTH SPRINGFIELD,ES,Elementary School,K-5,7602 HEMING CT,SPRINGFIELD,22151,https://northspringfieldes.fcps.edu/,7036585500,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.22508989,38.84827992,4128,CAMELOT,ES,Elementary School,K-6,8100 GUINEVERE DR,ANNANDALE,22003,https://camelotes.fcps.edu/,7036457000,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.21375832,38.85193576,4129,WOODBURN,ES,Elementary School,K-6,3401 HEMLOCK DR,FALLS CHURCH,22042,https://woodburnes.fcps.edu/,7036418200,2,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.29583474,38.85213273,4130,DANIELS RUN,ES,Elementary School,K-6,3705 OLD LEE HWY,FAIRFAX,22030,https://danielsrunes.fcps.edu/,7032798400,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.36287292,38.85140186,4131,EAGLE VIEW,ES,Elementary School,K-6,4500 DIXIE HILL RD,FAIRFAX,22030,https://eagleviewes.fcps.edu/,7033223100,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.47109339,38.85580233,4132,DEER PARK,ES,Elementary School,K-6,15109 CARLBERN DR,CENTREVILLE,20120,https://deerparkes.fcps.edu/,7038025000,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
-77.48573089,38.85209851,4133,VIRGINIA RUN,ES,Elementary School,K-6,15450 MARTINS HUNDRED DR,CENTREVILLE,20120,https://virginiarunes.fcps.edu/,7039888900,5,2021_22,2021/11/06 05:02:34.558+00,FairfaxCounty,2021/11/06 05:02:34.558+00,FairfaxCounty
