"","X","SEZ2011","dep_class_7.x","rand_base","density","spatial_lag","spatial_lag_square","dep11.x","dep01.x","calls","entropy","eigen_cent","page_rank","region_based_rate","commercial","third_places","comm_service","closeness","betweenness","dep01.y","dep11.y","dep_class_3","dep_class_5","dep_class_7"
"36",36,151460000750,2,-1.233641,0.007522,0.069205,0.24841,0.385757,0.307378,37228.355187,0.861316,0.001511,0.000124,0.005227,NA,NA,NA,3.14535656515192e-09,1113597.11765783,0.307377578824364,0.385756800805545,"2","3","4"
"37",37,151460000802,2,1.156156,0.053073,0.063338,0.061523,-1.13455,-0.823061,10508.696719,0.841604,0.000579,4.9e-05,0.002791,0,0,0,2.83963253023538e-09,1101663.75490123,-0.823060532890304,-1.13454976022191,"2","3","4"
"38",38,151460000955,2,1.092107,0.019181,0.052382,0.015704,-1.175083,0.368248,14769.902239,0.817195,0.00119,6e-05,0.0023,NA,NA,NA,2.20706706800723e-09,205299.536722798,0.368248491782057,-1.17508333314969,"2","3","3"
"39",39,151460004331,2,-0.122291,0.015983,1.631249,1.631371,0.277466,1.631371,6722.264518,0.794589,8.1e-05,4.5e-05,0.001117,NA,NA,NA,2.65802133032559e-09,1031377.99484257,1.63137130899799,0.277465777057026,"2","3","4"
"40",40,151460003596,2,0.130078,0.011798,-0.93352,-0.933601,0.392085,-0.933601,31288.245784,0.850289,0.000403,1e-04,0.004929,2.091927,0,0,2.81159877683918e-09,839797.166743291,-0.933600958597532,0.392084879505295,"2","3","4"
"41",41,151460003728,2,0.813244,0.024276,0.04853,0.070346,1.86898,-0.601233,7649.048874,0.865065,8.2e-05,4.4e-05,0.001418,NA,NA,NA,2.8540036192978e-09,874563.327933808,-0.601233145058965,1.86898040163634,"2","3","5"
"42",42,151460004352,2,0.430857,0.036385,0.489685,0.489733,0.61176,0.489733,4630.345591,0.800798,5.5e-05,3.8e-05,0.001031,NA,NA,NA,2.66674339933789e-09,1102943.06541546,0.489732849646373,0.611760441982815,"2","3","5"
"43",43,151460003978,2,1.442819,0.003716,0.442463,0.442507,0.373212,0.442507,33156.619076,0.847789,0.000477,0.00011,0.008768,NA,NA,NA,2.788192623258e-09,945279.39073428,0.442506881254853,0.373212432008191,"2","3","4"
"44",44,151460003278,2,-0.832646,0.000909,0.044396,-0.029092,-1.512876,-1.486734,187524.639001,0.861426,0.00227,0.000516,0.02386,0,0,2.060038,2.78096371290039e-09,665424.047226051,-1.486734103983,-1.51287568754404,"2","2","2"
"45",45,151460003643,2,-0.162995,0.037458,0.061782,0.006117,-0.891957,-0.826263,36587.981109,0.853798,0.000468,0.000131,0.004452,0.540487,0,2.060038,3.06695506100511e-09,1046636.86785152,-0.826263263823877,-0.891957237167881,"2","3","4"
"46",46,151460003268,2,-0.723137,0.007812,0.063985,0.04663,-1.45042,0.159024,9348.626195,0.875239,9.8e-05,3.9e-05,0.002349,NA,NA,NA,1.44962605569095e-09,66135.8723093531,0.159023695892402,-1.45041977827466,"2","3","3"
"47",47,151460004372,2,-0.879367,0.018416,0.086699,0.228018,-1.581038,-1.561862,27121.370096,0.849017,0.000348,9.4e-05,0.004087,NA,NA,NA,2.77716579937712e-09,1223082.93407197,-1.56186150063495,-1.58103750789704,"2","2","2"
"48",48,151460002628,2,-1.410603,0.034061,0.010566,-0.831711,-1.003055,-0.914046,42640.538083,0.886036,0.000584,9.7e-05,0.002929,NA,NA,NA,3.08572531725744e-09,1312850.62823607,-0.914046303517732,-1.00305508682903,"2","3","4"
"49",49,151460000167,NA,-0.735875,0,3.775876,3.776204,NA,3.776204,78049.331606,0.834925,0.001981,2e-04,0.006355,NA,NA,NA,3.157091312437e-09,1222955.76140098,3.77620401948265,NA,NA,NA,NA
"50",50,151460002171,2,-1.750062,0.013392,-0.967565,-0.967687,0.131591,-0.967687,21664.430293,0.892018,0.000269,6.3e-05,0.00332,NA,NA,NA,3.014010509695e-09,1313142.67626193,-0.967686596836099,0.131591169067104,"2","3","4"
"51",51,151460002751,2,-0.683487,0.004585,0.046435,0.06161,-1.643475,-1.40844,96728.925691,0.796509,0.001313,0.000362,0.027097,NA,NA,NA,2.62441296285741e-09,656941.854208462,-1.40843987039801,-1.64347527731783,"2","2","2"
"52",52,151460002477,2,-0.362725,0.034031,0.068958,0.041903,-1.221911,-1.085802,21480.429599,0.831082,0.000305,7.9e-05,0.004252,NA,NA,NA,2.90330329216916e-09,1516791.11447123,-1.08580168948782,-1.22191112898527,"2","3","3"
"53",53,151460002873,2,1.939592,0.008562,0.034091,-0.471408,-0.006996,-0.065997,106508.695362,0.844313,0.001601,0.00031,0.007749,0,0,0.316632,2.94073312773559e-09,1227997.26498918,-0.0659971356065884,-0.006995692192383,"2","3","4"
"54",54,151460002189,2,-1.146186,0.029041,0.016949,-0.622677,0.220629,0.472914,22456.004512,0.885328,0.000385,7.5e-05,0.002631,NA,NA,NA,2.92286754523652e-09,1236490.71615953,0.472914175392636,0.220629213738281,"2","3","4"
"55",55,151460002485,2,-0.842832,0.04859,0.082793,0.651571,0.407259,-0.788449,13925.807774,0.838633,0.000214,5.8e-05,0.003124,NA,NA,NA,2.56603555069155e-09,328582.70291186,-0.788448777345434,0.40725911713629,"2","3","4"
"56",56,151460002152,2,1.217805,0.015108,-1.088062,-1.088156,-1.030833,-1.088156,49084.208647,0.887937,0.000626,0.00011,0.005772,NA,NA,NA,2.59054389779658e-09,801293.601619012,-1.08815614916651,-1.0308332773594,"2","3","4"
"57",57,151460002091,2,-1.680127,0.02258,0.036186,-0.115056,0.633936,0.984727,58693.576951,0.859718,0.000816,0.00015,0.008642,NA,NA,NA,2.82146359321861e-09,856878.707604534,0.984726945511083,0.633935671568764,"2","3","5"
"58",58,151460003322,2,-1.71527,0.013666,0.06841,0.051936,-1.363187,-1.069823,36742.486749,0.83271,0.000467,0.000124,0.004326,NA,NA,NA,2.94663225542496e-09,293987.482661829,-1.06982322203137,-1.36318718098492,"2","3","3"
"59",59,151460003647,2,-1.082425,0.011011,0.081029,0.194738,-1.063544,-1.026316,67299.549516,0.851676,0.000904,0.00022,0.008689,0,0.845917,0,3.02322361164248e-09,1298301.60685473,-1.026315511333,-1.06354406746187,"2","3","4"
"60",60,151460003109,2,-0.561542,0.022202,0.072247,0.291104,0.04323,0.332004,9937.344944,0.837669,0.00017,5.2e-05,0.001173,NA,NA,NA,2.189750619682e-09,243326.883026736,0.332003875255334,0.0432304336441774,"2","3","4"
"61",61,151460003780,2,-0.789728,0.029313,0.038786,-0.027061,0.374433,0.530163,55583.633493,0.872636,0.000819,0.000168,0.00596,NA,NA,NA,3.164867532279e-09,1156457.41467629,0.530162607910101,0.374433136000885,"2","3","4"
"62",62,151460000580,2,0.298383,0.018383,0.550709,0.550745,0.345777,0.550745,74481.58021,0.856699,0.001139,0.000186,0.005258,NA,NA,NA,3.23512308990611e-09,1455410.6853318,0.550744801058276,0.345776583678612,"2","3","4"
"63",63,151460003548,2,-2.618254,0.033366,0.068995,-0.27361,0.486224,0.345826,20596.002585,0.850491,0.000285,8.4e-05,0.002733,NA,NA,NA,2.44480123776908e-09,902124.92240005,0.345826273440358,0.48622440923648,"2","3","4"
"64",64,151460003512,2,-1.578908,0.019663,0.572017,0.572079,-0.838937,0.572079,48841.870459,0.873946,0.00079,0.000161,0.003764,1.080975,0,0,3.06424683745327e-09,1267783.49708857,0.572079298244858,-0.838937105943319,"2","3","4"
"65",65,151460002928,2,1.074084,0.013589,0.073826,0.187024,0.420534,0.622639,108964.319427,0.846256,0.001637,0.000303,0.013013,0,0,42.230769,2.96982892117253e-09,1086633.55130399,0.622638892227166,0.420534369764533,"2","3","4"
"66",66,151460002725,2,-0.44822,0.014439,0.121526,1.207819,0.215587,0.470356,70493.493154,0.850624,0.00111,2e-04,0.007454,0,0,0,3.11718063165166e-09,1853260.74843315,0.470356206016679,0.215587209846113,"2","3","4"
"67",67,151460003432,2,-0.719666,0.021887,0.057098,-0.019917,-1.035689,-0.911175,116752.939537,0.860844,0.001882,0.000299,0.010634,0,2.307935,0,3.05057587152013e-09,1392374.00044792,-0.911175291327772,-1.03568873662618,"2","3","4"
"68",68,151460003434,2,-1.748411,0.016981,0.264735,0.264761,-1.278617,0.264761,105124.881313,0.858684,0.00169,0.000266,0.010642,0,1.677617,0,2.99841708047641e-09,1202298.95894669,0.264761258424072,-1.27861747714172,"2","3","3"
"69",69,151460002652,2,-0.048558,0.018104,0.074416,0.166363,0.244889,-0.843387,73144.556813,0.837362,0.001063,0.000177,0.008652,4.784314,0.384656,0,3.21228528580361e-09,2044625.95547796,-0.843387089743609,0.244889245428305,"2","3","4"
"70",70,151460003475,2,-0.807676,0.024359,0.491402,0.491444,0.261117,0.491444,60275.849612,0.867874,0.000927,0.000178,0.006116,0,0,0.158316,3.25049021129193e-09,1006098.29758778,0.491443635060991,0.261116659273689,"2","3","4"
"71",71,151460002693,2,-0.548252,0.018068,0.072756,0.416543,-0.926181,0.482889,51247.27739,0.855061,0.000781,0.000147,0.005123,NA,NA,NA,3.11942672465326e-09,1606585.51586245,0.482889354141299,-0.926181190670495,"2","3","4"
"72",72,151460003309,2,-1.360016,0.009465,0.090804,0.380687,-0.936321,-0.761118,81370.721217,0.834755,0.001108,0.000245,0.013305,NA,NA,NA,2.77491753476021e-09,909437.054682214,-0.761118212394855,-0.936321229569137,"2","3","4"
"73",73,151460003257,2,1.07962,0.018446,-0.057729,-0.057738,0.186272,-0.057738,22964.029112,0.812392,0.000335,9.3e-05,0.005516,0,1.677617,0,2.94130208259184e-09,924095.345517428,-0.0577380362197092,0.186272227511516,"2","3","4"
"74",74,151460003311,2,1.313078,0.009666,0.032266,-0.172147,-0.754551,-0.803899,89290.537615,0.827168,0.001254,0.000288,0.013274,4.183853,0,0,2.74410874422839e-09,613207.810219429,-0.80389946999856,-0.754550902417936,"2","3","4"
"75",75,151460003537,2,-1.887369,0.022945,0.060711,0.136415,0.511214,-0.526094,74149.717577,0.869308,0.001069,0.000218,0.005513,1.057634,0,0,3.26661626351515e-09,1508141.01308298,-0.526093860592834,0.511213703659219,"2","3","5"
"76",76,151460002730,2,0.072863,0.013177,0.062325,-0.116881,-0.947767,-0.836911,126809.804613,0.854624,0.001998,0.000329,0.013738,2.656795,0.281972,0,3.10704773776195e-09,1709256.84805568,-0.836911313551254,-0.94776689780101,"2","3","4"
"77",77,151460003177,2,-0.909663,0.017059,0.03686,-0.038592,0.252778,-0.850191,40804.056413,0.854284,0.000696,0.00012,0.006303,NA,NA,NA,2.87063718287605e-09,1041571.93053601,-0.850190596898941,0.252777880140414,"2","3","4"
"78",78,151460002973,2,0.5964,0.017342,0.063682,0.140412,-0.931529,-0.824248,95897.015218,0.823182,0.001488,0.000289,0.013603,NA,NA,NA,2.88586691014375e-09,894789.292509272,-0.824248322163762,-0.931529444436632,"2","3","4"
"79",79,151460003441,2,0.024088,0.036089,0.060416,-0.070022,0.186015,0.648509,45552.260777,0.857903,0.000723,0.000136,0.006196,1.080975,0,0,3.09668057702357e-09,1593361.93758203,0.648509358327249,0.18601483703074,"2","3","4"
"80",80,151460003174,2,-0.092246,0.013348,0.095302,0.292188,-0.987163,-0.913781,56232.672182,0.84495,0.000852,0.000149,0.007954,0,0.841178,0,2.85815140529933e-09,734054.471030096,-0.913781499814568,-0.987163012276859,"2","3","4"
"81",81,151460000234,2,1.387522,0.026415,0.027752,-0.804741,0.383143,0.320363,33788.646717,0.844724,0.000619,9.9e-05,0.003533,0,0,4.120075,3.30176071336087e-09,1883624.07022633,0.32036306735427,0.383143137090749,"2","3","4"
"82",82,151460003355,2,0.97726,0.001077,0.076376,0.212705,0.107227,NA,70278.626454,0.826366,0.00109,0.00021,0.012854,0,0,4.120075,2.94542443844733e-09,824504.564510553,NA,0.107226745131476,"2","3","4"
"83",83,151460003453,2,-2.028027,0.023764,0.1057,1.013957,-1.009092,-1.154173,25811.436476,0.886749,0.000484,9.7e-05,0.002107,0,0,1.011515,3.11063770726825e-09,1893256.45910484,-1.15417319897676,-1.00909162964834,"2","3","4"
"84",84,151460003312,2,0.372378,0.018789,0.058709,0.155866,-0.921282,-0.857367,33071.668329,0.82854,0.000428,0.000117,0.007063,NA,NA,NA,2.87262363347874e-09,600789.24193385,-0.857367093225615,-0.921282157702828,"2","3","4"
"85",85,151460003562,2,-0.485126,0.013745,0.087993,0.235444,0.405794,0.461647,35621.1445,0.859035,0.000491,0.000119,0.004109,NA,NA,NA,3.0813048369537e-09,766072.764868196,0.461646887101635,0.405793818239291,"2","3","4"
"86",86,151460003415,2,0.065413,0.017757,0.054213,0.06,0.079563,-1.184189,38541.713708,0.859726,0.000641,0.000117,0.002869,NA,NA,NA,3.11137109337631e-09,1914860.19981169,-1.18418902148644,0.0795625836805561,"2","3","4"
"87",87,151460003385,2,-0.833213,0.021784,0.06658,0.052369,-1.21864,-0.998818,27746.947786,0.842341,0.000412,9.3e-05,0.003919,0,0.845917,0,2.80465798111884e-09,1083034.44036003,-0.998817642705314,-1.21863965157425,"2","3","3"
"88",88,151460000336,2,1.067549,0.014539,0.047638,-0.016884,-1.0446,0.431069,85816.068397,0.864387,0.001448,0.000224,0.007042,0,1.677617,0,3.26988670710904e-09,1416897.37873232,0.431068652183795,-1.04459973658518,"2","3","4"
"89",89,151460003308,2,-0.402339,0.010302,-0.761904,-0.761983,-0.859951,-0.761983,43499.194624,0.827132,0.000635,0.000142,0.007953,1.045963,0,0,2.86318741666946e-09,1059397.58712226,-0.761982915411258,-0.859950688596703,"2","3","4"
"90",90,151460000299,2,-0.477789,0.00935,0.214018,0.214031,1.8681,0.214031,44950.779314,0.849742,0.00068,0.000122,0.005069,NA,NA,NA,3.31116692679468e-09,2983134.60396202,0.214031265950077,1.86809978212355,"2","3","5"
"91",91,151460003431,2,1.342988,0.001568,0.055349,-0.039443,1.808177,0.784143,65775.790733,0.854163,0.001017,0.000167,0.007315,0,2.307935,0,2.97275376765909e-09,1237274.93230237,0.784142933183507,1.80817723502558,"2","3","5"
"92",92,151460003224,2,-0.788014,0.037882,0.059151,0.08706,0.639419,-0.785054,3474.727888,0.840136,3.2e-05,3e-05,0.00061,NA,NA,NA,2.47444553175054e-09,324629.93124816,-0.785054156172387,0.63941888941548,"2","3","5"
"93",93,151460002590,2,1.448066,5.6e-05,0.046017,-0.084228,1.905021,1.09763,177673.049378,0.850727,0.002209,0.000241,0.026513,4.183853,0,0,2.52743741059226e-09,347753.510332402,1.09763001873855,1.90502104357674,"2","3","5"
"94",94,151460002440,NA,1.528135,0,7e-06,0,NA,NA,510504.297041,0.843422,0.005641,0.00068,0.07955,2.341567,1.153967,0,2.25288874147445e-09,258667.624446563,NA,NA,NA,NA,NA
"95",95,151460002431,2,-1.115344,0.019176,0.027732,-0.49459,-1.702509,-1.499431,3663.723936,0.792044,4.6e-05,3.2e-05,0.001268,NA,NA,NA,2.46966963597233e-09,165200.220400345,-1.49943115819811,-1.70250900065647,"2","2","2"
"96",96,151460002428,2,-1.617091,0.024333,0.066113,0.358589,-1.405243,-1.625611,2685.331261,0.793486,3.1e-05,2.9e-05,0.001346,NA,NA,NA,2.42176513991502e-09,417528.100502406,-1.62561050664612,-1.40524265264448,"2","3","3"
"97",97,151460002442,2,2.64111,0.014742,0.0621,-0.004073,0.430563,-1.018937,5573.899755,0.857822,6.6e-05,3e-05,0.001497,0,1.422901,0,2.29124082267189e-09,173353.183729101,-1.01893742730963,0.43056334694995,"2","3","4"
"98",98,151460002350,2,-0.833345,0.000211,0.056932,0.056935,2.272162,0.056935,27444.331099,0.824371,0.000403,8.5e-05,0.006356,NA,NA,NA,2.82211783391231e-09,597208.718393663,0.0569349851616781,2.27216167100107,"2","4","6"
"99",99,151460002420,2,-1.370956,0.007992,0.070118,0.101575,-1.182832,-1.400455,27769.26434,0.798514,0.000323,7.9e-05,0.01197,0,0.845917,0,2.44807375597736e-09,389253.859314007,-1.4004552928369,-1.18283150452313,"2","3","3"
"100",100,151460002418,2,0.772124,0.018581,0.042992,0.002959,-1.45931,-1.261076,8784.317153,0.794408,0.000105,4.1e-05,0.003767,NA,NA,NA,2.51652780590848e-09,559586.402715407,-1.26107609579355,-1.45930979045153,"2","3","3"
"101",101,151460002335,2,0.614471,0.011101,0.083939,0.166976,0.57614,0.888208,16656.415018,0.829531,0.000256,6.1e-05,0.003997,NA,NA,NA,2.81615578387591e-09,525693.775543496,0.888207626366945,0.576140461879058,"2","3","5"
"102",102,151460002421,2,-1.411497,0.008509,-0.922217,-0.922297,-1.142704,-0.922297,21660.872711,0.800948,0.000249,6.7e-05,0.009357,NA,NA,NA,2.44334483942206e-09,283174.780873228,-0.92229741027444,-1.14270408698968,"2","3","4"
"103",103,151460002450,2,1.135692,0.024533,0.058227,-0.056503,0.603434,0.597739,11125.094594,0.769485,0.000183,5e-05,0.004018,NA,NA,NA,2.48524357178304e-09,319822.745885614,0.597738585279356,0.603433664467208,"2","3","5"
"104",104,151460002398,2,0.100776,0.035879,0.069279,0.085998,-0.988105,-0.879222,20467.220051,0.771704,0.000308,7.8e-05,0.005936,NA,NA,NA,2.69533590648916e-09,733189.336431659,-0.879222249427902,-0.988104598066003,"2","3","4"
"105",105,151460002397,2,0.782796,0.023646,0.085999,0.298772,-1.41985,-1.303238,23423.12038,0.771901,0.000353,8.6e-05,0.006717,NA,NA,NA,2.69206268854972e-09,629556.926395952,-1.30323754346387,-1.41984989318939,"2","3","3"
"106",106,151460002325,2,-0.584728,0.001501,0.069989,0.076067,0.346595,0.463823,94125.410853,0.761075,0.001286,0.000173,0.041605,NA,NA,NA,1.92478501484147e-09,263763.582525664,0.4638226474393,0.346595484522964,"2","3","4"
"107",107,151460002515,2,0.62119,0.03144,-0.397951,-0.397986,0.547368,-0.397986,22893.292054,0.861671,0.000331,7.7e-05,0.003081,NA,NA,NA,2.80089605911994e-09,973600.10743906,-0.397985852597556,0.547368360811561,"2","3","5"
"108",108,151460002510,2,-0.997873,0.038297,0.595138,0.595178,-0.920439,0.595178,27304.221973,0.84373,0.000378,8.8e-05,0.003511,0.540487,0,0.252879,2.62405455289957e-09,1061454.29076118,0.595178347323884,-0.920438729663626,"2","3","4"
"109",109,151460000322,2,-0.394338,0.034208,0.054943,0.018867,0.109274,0.34123,37505.90436,0.86586,0.000627,0.000111,0.002609,NA,NA,NA,3.26427540982217e-09,1264081.14429,0.341229824506013,0.1092737380448,"2","3","4"
"110",110,151460003245,2,0.102413,0.028771,0.06313,-0.054004,-1.656717,-1.598541,8281.474957,0.83141,0.000105,4.8e-05,0.002794,NA,NA,NA,2.85085893719403e-09,324582.465338575,-1.59854057242559,-1.6567171528805,"2","2","2"
"111",111,151460000339,2,-2.414769,0.030608,0.087708,0.369558,-1.174983,0.445748,73394.608996,0.856545,0.00135,0.000189,0.004956,NA,NA,NA,3.09524931260447e-09,2723772.39895237,0.445747901238679,-1.1749829384196,"2","3","3"
