"","k3.cluster"
"151460000276",2
"151460000277",2
"151460000278",1
"151460000279",1
"151460000280",1
"151460000281",1
"151460000282",1
"151460000283",1
"151460000284",1
"151460000285",1
"151460000286",2
"151460000287",1
"151460000288",1
"151460000289",1
"151460000290",3
"151460000291",3
"151460000292",1
"151460000293",1
"151460000294",2
"151460000295",2
"151460000296",1
"151460000297",1
"151460000298",1
"151460000299",1
"151460000300",1
"151460000301",1
"151460000302",1
"151460000303",1
"151460000304",3
"151460000305",3
"151460000306",3
"151460000307",3
"151460000308",3
"151460000309",1
"151460000310",1
"151460000311",3
"151460000312",3
"151460000313",3
"151460000314",3
"151460000315",3
"151460000316",3
"151460000317",3
"151460000318",3
"151460000319",3
"151460000320",3
"151460000321",3
"151460000322",3
"151460000323",3
"151460000324",3
"151460000325",3
"151460000326",1
"151460000327",1
"151460000328",3
"151460000329",3
"151460000330",3
"151460000331",3
"151460000332",3
"151460000333",3
"151460000334",1
"151460000335",3
"151460000336",3
"151460000337",3
"151460000338",1
"151460000339",1
"151460000340",1
"151460000341",1
"151460000342",1
"151460000343",1
"151460000344",1
"151460000345",1
"151460000346",1
"151460000347",1
"151460000348",1
"151460000349",1
"151460000350",3
"151460000351",3
"151460000352",3
"151460000353",3
"151460000354",3
"151460000355",1
"151460000356",1
"151460000357",1
"151460000358",3
"151460000359",1
"151460000360",1
"151460000361",1
"151460000362",1
"151460000363",2
"151460000364",1
"151460000365",2
"151460000366",1
"151460000367",2
"151460000368",2
"151460000369",2
"151460000370",2
"151460000371",2
"151460000372",2
"151460000373",2
"151460000374",2
"151460000375",2
"151460000376",2
"151460000377",2
"151460000378",2
"151460000379",1
"151460000380",1
"151460000381",2
"151460000382",1
"151460000383",2
"151460000384",2
"151460000385",2
"151460000386",2
"151460000387",2
"151460000388",2
"151460000389",2
"151460000390",2
"151460000391",2
"151460000392",2
"151460000393",2
"151460000394",2
"151460000395",2
"151460000396",1
"151460000397",1
"151460000398",1
"151460000399",1
"151460000400",2
"151460000401",1
"151460000402",1
"151460000403",2
"151460000404",2
"151460000405",1
"151460000406",1
"151460000407",2
"151460000408",1
"151460000409",2
"151460000410",2
"151460000411",2
"151460000412",2
"151460000413",2
"151460000414",2
"151460000415",2
"151460000416",1
"151460000417",1
"151460000418",1
"151460000419",1
"151460000420",2
"151460000421",2
"151460000422",2
"151460000423",2
"151460000424",2
"151460000425",1
"151460000426",1
"151460000427",1
"151460000428",1
"151460000429",1
"151460000430",1
"151460000431",2
"151460000432",1
"151460000433",1
"151460000434",1
"151460000435",1
"151460000436",1
"151460000437",2
"151460000438",2
"151460000439",2
"151460000440",2
"151460000441",2
"151460000442",2
"151460000443",2
"151460000444",2
"151460000445",2
"151460000446",2
"151460000447",2
"151460000448",2
"151460000449",1
"151460000450",1
"151460000451",1
"151460000452",1
"151460000453",1
"151460000454",1
"151460000455",1
"151460000456",1
"151460000457",1
"151460000458",1
"151460000459",1
"151460000460",1
"151460000461",1
"151460000462",1
"151460000463",1
"151460000464",1
"151460000465",1
"151460000466",2
"151460000467",1
"151460000468",1
"151460000469",1
"151460000470",1
"151460000471",1
"151460000472",2
"151460000473",1
"151460000474",1
"151460000475",2
"151460000476",1
"151460000477",1
"151460000478",1
"151460000479",2
"151460000480",2
"151460000481",2
"151460000482",2
"151460000483",2
"151460000484",2
"151460000485",2
"151460000486",2
"151460000487",2
"151460000488",2
"151460000489",2
"151460000490",2
"151460000491",2
"151460000492",2
"151460000493",2
"151460000494",2
"151460000495",2
"151460000496",2
"151460000497",2
"151460000498",1
"151460000499",1
"151460000500",2
"151460000501",2
"151460000502",1
"151460000503",2
"151460000504",2
"151460000505",2
"151460000506",2
"151460000507",2
"151460000508",2
"151460000509",2
"151460000510",2
"151460000511",2
"151460000512",2
"151460000513",2
"151460000514",2
"151460000515",2
"151460000516",2
"151460000517",2
"151460000518",2
"151460000519",2
"151460000520",2
"151460000521",2
"151460000522",2
"151460000523",2
"151460000524",2
"151460000525",2
"151460000526",2
"151460000527",2
"151460000528",2
"151460000529",2
"151460000530",2
"151460000531",2
"151460000532",2
"151460000533",2
"151460000534",2
"151460000535",2
"151460000536",2
"151460000537",2
"151460000538",2
"151460000539",2
"151460000540",2
"151460000541",2
"151460000542",2
"151460000543",2
"151460000544",2
"151460000545",2
"151460000546",2
"151460000547",2
"151460000548",2
"151460000549",2
"151460000550",2
"151460000551",2
"151460000552",2
"151460000553",2
"151460000554",2
"151460000555",2
"151460000556",2
"151460000557",2
"151460000558",2
"151460000559",1
"151460000560",1
"151460000561",2
"151460000562",1
"151460000563",2
"151460000564",1
"151460000565",1
"151460000566",1
"151460000567",1
"151460000568",2
"151460000569",2
"151460000570",2
"151460000571",2
"151460000572",2
"151460000573",2
"151460000574",2
"151460000575",2
"151460000576",2
"151460000577",1
"151460000578",1
"151460000579",1
"151460000580",1
"151460000581",1
"151460000582",1
"151460000583",1
"151460000584",1
"151460000585",2
"151460000586",2
"151460000587",1
"151460000588",1
"151460000589",3
"151460000590",3
"151460000591",3
"151460000592",1
"151460000593",1
"151460000594",1
"151460000595",2
"151460000596",1
"151460000597",3
"151460000598",3
"151460000599",1
"151460000600",1
"151460000601",1
"151460000602",1
"151460000603",1
"151460000604",1
"151460000605",1
"151460000606",1
"151460000607",1
"151460000608",2
"151460000609",2
"151460000610",2
"151460000611",2
"151460000612",2
"151460000613",2
"151460000614",2
"151460000615",2
"151460000616",2
"151460000617",2
"151460000618",2
"151460000619",1
"151460000620",1
"151460000621",1
"151460000622",1
"151460000623",3
"151460000624",3
"151460000625",3
"151460000626",3
"151460000627",3
"151460000628",1
"151460000629",1
"151460000630",1
"151460000631",1
"151460000632",1
"151460000633",1
"151460000634",1
"151460000635",1
"151460000636",1
"151460000637",1
"151460000638",1
"151460000639",2
"151460000640",2
"151460000641",1
"151460000642",2
"151460000643",2
"151460000644",1
"151460000645",1
"151460000646",1
"151460000647",1
"151460000648",1
"151460000649",1
"151460000650",1
"151460000651",1
"151460000652",1
"151460000653",2
"151460000654",1
"151460000655",3
"151460000656",3
"151460000657",1
"151460000658",1
"151460000659",1
"151460000660",1
"151460000661",1
"151460000662",1
"151460000663",1
"151460000664",1
"151460000665",3
"151460000666",3
"151460000667",1
"151460000668",1
"151460000669",3
"151460000670",3
"151460000671",3
"151460000672",3
"151460000673",3
"151460000674",3
"151460000675",3
"151460000676",3
"151460000677",3
"151460000678",3
"151460000679",3
"151460000680",3
"151460000681",3
"151460000682",1
"151460000683",1
"151460000684",1
"151460000685",1
"151460000686",3
"151460000687",3
"151460000688",1
"151460000689",1
"151460000690",1
"151460000691",1
"151460000692",1
"151460000693",1
"151460000694",3
"151460000695",3
"151460000696",3
"151460000697",1
"151460000698",1
"151460000699",2
"151460000700",2
"151460000701",1
"151460000702",2
"151460000703",2
"151460000704",2
"151460000705",2
"151460000706",2
"151460000707",2
"151460000708",2
"151460000709",1
"151460000710",1
"151460000711",1
"151460000712",1
"151460000713",1
"151460000714",1
"151460000715",1
"151460000716",1
"151460000717",1
"151460000718",1
"151460000719",1
"151460000720",1
"151460000721",1
"151460000722",1
"151460000723",1
"151460000724",1
"151460000725",1
"151460000726",1
"151460000727",1
"151460000728",1
"151460000729",1
"151460000730",1
"151460000731",1
"151460000732",1
"151460000733",1
"151460000734",1
"151460000735",1
"151460000736",1
"151460000737",1
"151460000738",1
"151460000739",1
"151460000740",1
"151460000741",1
"151460000742",1
"151460000743",1
"151460000744",1
"151460000745",3
"151460000746",3
"151460000747",3
"151460000748",3
"151460000749",3
"151460000750",1
"151460000751",1
"151460000752",3
"151460000753",3
"151460000754",3
"151460000755",3
"151460000756",3
"151460000757",1
"151460000758",1
"151460000759",1
"151460000760",1
"151460000761",3
"151460000762",1
"151460000763",1
"151460000764",1
"151460000765",1
"151460000766",1
"151460000767",1
"151460000768",1
"151460000769",1
"151460000770",1
"151460000771",1
"151460000772",1
"151460000773",1
"151460000774",1
"151460000775",1
"151460000776",1
"151460000777",1
"151460000778",3
"151460000779",3
"151460000780",1
"151460000781",1
"151460000782",1
"151460000783",1
"151460000784",1
"151460000785",1
"151460000786",1
"151460000787",3
"151460000788",3
"151460000789",3
"151460000790",3
"151460000791",3
"151460000792",3
"151460000793",1
"151460000794",3
"151460000795",3
"151460000796",3
"151460000797",3
"151460000798",3
"151460000799",3
"151460000800",3
"151460000801",3
"151460000802",3
"151460000803",3
"151460000804",3
"151460000805",3
"151460000806",3
"151460000807",3
"151460000808",3
"151460000809",3
"151460000810",3
"151460000811",3
"151460000812",3
"151460000813",3
"151460000814",3
"151460000815",3
"151460000816",3
"151460000817",3
"151460000818",3
"151460000819",3
"151460000820",1
"151460000821",3
"151460000822",1
"151460000823",3
"151460000824",1
"151460000825",1
"151460000826",1
"151460000827",1
"151460000828",1
"151460000829",1
"151460000830",1
"151460000831",1
"151460000832",1
"151460000833",1
"151460000834",1
"151460000835",1
"151460000836",1
"151460000837",1
"151460000838",1
"151460000839",1
"151460000840",3
"151460000841",3
"151460000842",3
"151460000843",1
"151460000844",3
"151460000845",3
"151460000846",3
"151460000847",3
"151460000848",3
"151460000849",3
"151460000850",3
"151460000851",3
"151460000852",3
"151460000853",3
"151460000854",3
"151460000855",3
"151460000856",1
"151460000857",1
"151460000858",1
"151460000859",1
"151460000860",1
"151460000861",1
"151460000862",1
"151460000863",1
"151460000864",1
"151460000865",1
"151460000866",1
"151460000867",1
"151460000868",2
"151460000869",2
"151460000870",1
"151460000871",2
"151460000872",1
"151460000873",2
"151460000874",2
"151460000875",2
"151460000876",2
"151460000877",2
"151460000878",2
"151460000879",2
"151460000880",2
"151460000881",2
"151460000882",2
"151460000883",2
"151460000884",2
"151460000885",2
"151460000886",2
"151460000887",2
"151460000888",2
"151460000889",1
"151460000890",2
"151460000891",2
"151460000892",1
"151460000893",1
"151460000894",1
"151460000895",1
"151460000896",2
"151460000897",1
"151460000898",2
"151460000899",2
"151460000900",2
"151460000901",2
"151460000902",2
"151460000903",2
"151460000904",2
"151460000905",2
"151460000906",2
"151460000907",2
"151460000908",2
"151460000909",2
"151460000910",2
"151460000911",1
"151460000912",1
"151460000913",1
"151460000914",1
"151460000915",1
"151460000916",1
"151460000917",1
"151460000918",1
"151460000919",1
"151460000920",1
"151460000921",1
"151460000922",1
"151460000923",1
"151460000924",1
"151460000925",1
"151460000926",1
"151460000927",1
"151460000928",1
"151460000929",1
"151460000930",2
"151460000931",2
"151460000932",2
"151460000933",1
"151460000934",2
"151460000935",2
"151460000936",1
"151460000937",1
"151460000938",3
"151460000939",3
"151460000940",3
"151460000941",1
"151460000942",1
"151460000943",2
"151460000944",1
"151460000945",1
"151460000946",1
"151460000947",1
"151460000948",3
"151460000949",3
"151460000950",3
"151460000951",3
"151460000952",3
"151460000953",3
"151460000954",3
"151460000955",3
"151460000956",3
"151460000957",3
"151460000958",3
"151460000959",3
"151460000960",3
"151460000961",3
"151460000962",3
"151460000963",3
"151460000964",1
"151460000965",3
"151460000966",1
"151460000967",1
"151460000968",1
"151460000969",3
"151460000970",3
"151460000971",3
"151460000972",3
"151460000973",3
"151460000974",3
"151460000975",3
"151460000976",3
"151460000977",3
"151460000978",3
"151460000979",3
"151460000980",3
"151460000981",3
"151460000982",3
"151460000983",3
"151460000984",3
"151460000985",3
"151460000986",3
"151460000987",3
"151460000988",3
"151460000989",3
"151460000990",3
"151460000991",3
"151460000992",3
"151460000993",3
"151460000994",3
"151460000995",3
"151460000996",3
"151460000997",1
"151460000998",1
"151460000999",1
"151460001000",1
"151460001001",3
"151460001002",1
"151460001003",1
"151460001004",3
"151460001005",1
"151460001006",3
"151460001007",3
"151460001008",3
"151460001009",3
"151460001010",3
"151460001011",3
"151460001012",3
"151460001013",3
"151460001014",3
"151460001015",3
"151460001016",3
"151460001017",3
"151460001018",1
"151460001019",1
"151460001020",3
"151460001021",3
"151460001022",1
"151460001023",1
"151460001024",1
"151460001025",1
"151460001026",3
"151460001027",3
"151460001028",3
"151460001029",1
"151460001030",1
"151460001031",3
"151460001032",3
"151460001033",3
"151460001034",3
"151460001035",1
"151460001036",1
"151460001037",3
"151460001038",1
"151460001039",1
"151460001040",1
"151460001041",1
"151460001042",1
"151460001043",1
"151460001044",3
"151460001045",1
"151460001046",1
"151460001047",1
"151460001048",1
"151460001049",1
"151460001050",1
"151460001051",1
"151460001052",1
"151460001053",1
"151460001054",1
"151460001055",3
"151460001056",3
"151460001057",3
"151460001058",3
"151460001059",3
"151460001060",3
"151460001061",3
"151460001062",3
"151460001063",3
"151460001064",3
"151460001065",3
"151460001066",3
"151460001067",3
"151460001068",3
"151460001069",3
"151460001070",3
"151460001071",3
"151460001072",3
"151460001073",3
"151460001074",3
"151460001075",3
"151460001076",3
"151460001077",1
"151460001078",3
"151460001079",1
"151460001080",3
"151460001081",3
"151460001082",3
"151460001083",3
"151460001084",3
"151460001085",3
"151460001086",3
"151460001087",3
"151460001088",3
"151460001089",1
"151460001090",3
"151460001091",3
"151460001092",3
"151460001093",3
"151460001094",3
"151460001095",3
"151460001096",3
"151460001097",3
"151460001098",3
"151460001099",3
"151460001100",3
"151460001101",3
"151460001102",3
"151460001103",3
"151460001104",3
"151460001105",3
"151460001106",3
"151460001107",3
"151460001108",3
"151460001109",3
"151460001110",3
"151460001111",3
"151460001112",3
"151460001113",3
"151460001114",3
"151460001115",3
"151460001116",3
"151460001117",3
"151460001118",3
"151460001119",3
"151460001120",3
"151460001121",3
"151460001122",3
"151460001123",3
"151460001124",3
"151460001125",3
"151460001126",3
"151460001127",3
"151460001128",3
"151460001129",3
"151460001130",3
"151460001131",3
"151460001132",3
"151460001133",3
"151460001134",3
"151460001135",3
"151460001136",3
"151460001137",3
"151460001138",3
"151460001139",3
"151460001140",3
"151460001141",3
"151460001142",3
"151460001143",3
"151460001144",3
"151460001145",3
"151460001146",3
"151460001147",3
"151460001148",3
"151460001149",3
"151460001150",3
"151460001151",3
"151460001152",3
"151460001153",3
"151460001154",3
"151460001155",3
"151460001156",3
"151460001157",3
"151460001158",3
"151460001159",3
"151460001160",3
"151460001161",3
"151460001162",3
"151460001163",3
"151460001164",3
"151460001165",3
"151460001166",3
"151460001167",3
"151460001168",3
"151460001169",3
"151460001170",3
"151460001171",3
"151460001172",3
"151460001173",3
"151460001174",3
"151460001175",3
"151460001176",3
"151460001177",1
"151460001178",1
"151460001179",3
"151460001180",3
"151460001181",3
"151460001182",3
"151460001183",3
"151460001184",3
"151460001185",3
"151460001186",3
"151460001187",3
"151460001188",3
"151460001189",3
"151460001190",1
"151460001191",1
"151460001193",3
"151460001194",3
"151460001195",3
"151460001196",3
"151460001197",3
"151460001198",1
"151460001199",1
"151460001200",1
"151460001201",1
"151460001202",2
"151460001203",2
"151460001204",2
"151460001205",1
"151460001206",1
"151460001207",1
"151460001208",1
"151460001209",1
"151460001210",1
"151460001211",1
"151460001212",1
"151460001213",1
"151460001214",1
"151460001215",1
"151460001216",1
"151460001217",1
"151460001218",1
"151460001219",1
"151460001220",1
"151460001221",1
"151460001222",1
"151460001223",1
"151460001224",1
"151460001225",1
"151460001226",1
"151460001227",1
"151460001228",1
"151460001229",1
"151460001230",2
"151460001231",2
"151460001232",2
"151460001233",2
"151460001234",2
"151460001235",2
"151460001236",2
"151460001237",2
"151460001238",2
"151460001239",2
"151460001240",1
"151460001241",1
"151460001242",1
"151460001243",1
"151460001244",1
"151460001245",1
"151460001246",1
"151460001247",3
"151460001248",3
"151460001249",2
"151460001250",1
"151460001251",1
"151460001252",1
"151460001253",3
"151460001254",3
"151460001255",3
"151460001256",3
"151460001257",3
"151460001258",3
"151460001259",3
"151460001261",3
"151460001262",3
"151460001263",3
"151460001264",3
"151460001265",3
"151460001266",3
"151460001267",3
"151460001268",3
"151460001269",3
"151460001270",3
"151460001271",3
"151460001272",3
"151460001273",1
"151460001274",3
"151460001275",3
"151460001276",3
"151460001277",3
"151460001278",3
"151460001279",3
"151460001280",3
"151460001281",3
"151460001282",3
"151460001283",3
"151460001284",3
"151460001285",3
"151460001286",3
"151460001287",3
"151460001288",3
"151460001289",3
"151460001290",3
"151460001291",3
"151460001292",3
"151460001293",3
"151460001294",3
"151460001295",3
"151460001296",3
"151460001297",3
"151460001298",3
"151460001299",3
"151460001300",3
"151460001301",3
"151460001302",3
"151460001303",3
"151460001304",3
"151460001305",3
"151460001306",3
"151460001307",3
"151460001308",3
"151460001309",3
"151460001310",3
"151460001311",3
"151460001312",3
"151460001313",3
"151460001314",3
"151460001315",3
"151460001316",3
"151460001317",3
"151460001318",3
"151460001319",3
"151460001320",3
"151460001321",3
"151460001322",3
"151460001323",3
"151460001324",3
"151460001325",3
"151460001326",3
"151460001327",3
"151460001328",1
"151460001329",3
"151460001330",3
"151460001331",3
"151460001332",3
"151460001333",3
"151460001334",3
"151460001335",3
"151460001336",3
"151460001337",3
"151460001338",3
"151460001339",3
"151460001340",3
"151460001341",3
"151460001342",3
"151460001343",3
"151460001344",3
"151460001345",3
"151460001346",3
"151460001347",3
"151460001348",3
"151460001349",3
"151460001350",1
"151460001351",1
"151460001352",1
"151460001353",1
"151460001354",1
"151460001355",1
"151460001356",1
"151460001357",1
"151460001358",1
"151460001359",1
"151460001360",1
"151460001361",1
"151460001362",1
"151460001363",1
"151460001364",1
"151460001365",1
"151460001366",1
"151460001367",1
"151460001368",1
"151460001369",1
"151460001370",1
"151460001371",1
"151460001372",1
"151460001373",1
"151460001374",1
"151460001375",1
"151460001376",1
"151460001377",1
"151460001378",1
"151460001379",1
"151460001380",1
"151460001381",1
"151460001382",1
"151460001383",1
"151460001384",1
"151460001385",1
"151460001386",1
"151460001387",1
"151460001388",1
"151460001389",1
"151460001390",1
"151460001391",1
"151460001392",1
"151460001393",1
"151460001394",1
"151460001395",1
"151460001396",1
"151460001397",1
"151460001398",1
"151460001399",1
"151460001400",1
"151460001401",1
"151460001402",1
"151460001403",1
"151460001404",1
"151460001405",1
"151460001406",1
"151460001407",1
"151460001408",1
"151460001409",1
"151460001410",1
"151460001411",1
"151460001412",1
"151460001413",1
"151460001414",1
"151460001415",1
"151460001416",1
"151460001417",1
"151460001418",1
"151460001419",1
"151460001420",1
"151460001421",1
"151460001422",1
"151460001423",1
"151460001424",1
"151460001425",1
"151460001426",1
"151460001427",1
"151460001428",1
"151460001429",1
"151460001430",3
"151460001431",3
"151460001432",3
"151460001433",3
"151460001434",1
"151460001435",1
"151460001436",1
"151460001437",3
"151460001438",3
"151460001439",1
"151460001440",1
"151460001441",3
"151460001442",1
"151460001443",1
"151460001444",3
"151460001445",1
"151460001446",1
"151460001447",1
"151460001448",1
"151460001449",1
"151460001450",1
"151460001451",1
"151460001452",1
"151460001453",1
"151460001454",1
"151460001455",1
"151460001456",1
"151460001457",1
"151460001458",1
"151460001459",1
"151460001460",1
"151460001461",1
"151460001462",1
"151460001463",1
"151460001464",1
"151460001465",1
"151460001466",1
"151460001467",1
"151460001468",1
"151460001469",1
"151460001470",1
"151460001471",1
"151460001472",1
"151460001473",1
"151460001474",1
"151460001475",1
"151460001476",1
"151460001477",1
"151460001478",1
"151460001479",1
"151460001480",1
"151460001481",1
"151460001482",1
"151460001483",1
"151460001484",1
"151460001485",1
"151460001486",1
"151460001487",1
"151460001488",1
"151460001489",1
"151460001490",1
"151460001491",1
"151460001492",1
"151460001493",1
"151460001494",1
"151460001495",1
"151460001496",1
"151460001497",1
"151460001498",1
"151460001499",1
"151460001500",1
"151460001501",1
"151460001502",1
"151460001503",1
"151460001504",1
"151460001505",1
"151460001506",1
"151460001507",1
"151460001508",1
"151460001509",1
"151460001510",1
"151460001511",1
"151460001512",1
"151460001513",1
"151460001514",1
"151460001515",1
"151460001516",1
"151460001517",1
"151460001518",1
"151460001519",1
"151460001520",1
"151460001521",1
"151460001522",1
"151460001523",1
"151460001524",1
"151460001525",1
"151460001526",1
"151460001527",1
"151460001528",3
"151460001529",3
"151460001530",1
"151460001531",1
"151460001532",1
"151460001533",1
"151460001534",1
"151460001535",1
"151460001536",1
"151460001537",1
"151460001538",1
"151460001539",1
"151460001540",1
"151460001541",1
"151460001542",1
"151460001543",1
"151460001544",1
"151460001545",1
"151460001546",1
"151460001547",1
"151460001548",1
"151460001549",1
"151460001550",3
"151460001551",3
"151460001552",3
"151460001553",3
"151460001554",3
"151460001555",1
"151460001556",3
"151460001557",3
"151460001558",3
"151460001559",3
"151460001560",1
"151460001561",1
"151460001562",1
"151460001563",1
"151460001564",1
"151460001565",1
"151460001566",1
"151460001567",1
"151460001568",1
"151460001569",1
"151460001570",1
"151460001571",1
"151460001572",1
"151460001573",1
"151460001574",1
"151460001575",1
"151460001576",1
"151460001577",1
"151460001578",1
"151460001579",1
"151460001580",1
"151460001581",1
"151460001582",1
"151460001583",1
"151460001584",1
"151460001585",1
"151460001586",1
"151460001587",1
"151460001588",1
"151460001589",1
"151460001590",1
"151460001591",1
"151460001592",2
"151460001593",2
"151460001594",2
"151460001595",1
"151460001596",3
"151460001597",3
"151460001598",3
"151460001599",1
"151460001600",3
"151460001601",3
"151460001602",1
"151460001603",3
"151460001604",3
"151460001605",3
"151460001606",1
"151460001607",1
"151460001608",3
"151460001609",3
"151460001610",1
"151460001611",1
"151460001612",1
"151460001613",1
"151460001614",1
"151460001615",1
"151460001616",1
"151460001617",1
"151460001618",1
"151460001619",1
"151460001620",1
"151460001621",1
"151460001622",1
"151460001623",1
"151460001624",1
"151460001625",1
"151460001626",1
"151460001627",1
"151460001628",1
"151460001629",1
"151460001630",1
"151460001631",1
"151460001632",1
"151460001633",1
"151460001634",1
"151460001635",1
"151460001636",1
"151460001637",2
"151460001638",1
"151460001639",1
"151460001640",1
"151460001641",2
"151460001642",1
"151460001643",1
"151460001644",1
"151460001645",1
"151460001646",1
"151460001647",1
"151460001648",1
"151460001649",1
"151460001650",1
"151460001651",1
"151460001652",1
"151460001653",1
"151460001654",2
"151460001655",1
"151460001656",1
"151460001657",3
"151460001658",1
"151460001659",1
"151460001660",1
"151460001661",1
"151460001662",1
"151460001663",1
"151460001664",1
"151460001665",1
"151460001666",1
"151460001667",1
"151460001668",1
"151460001669",1
"151460001670",1
"151460001671",1
"151460001672",1
"151460001673",1
"151460001674",1
"151460001675",1
"151460001676",1
"151460001677",1
"151460001678",3
"151460001679",3
"151460001680",1
"151460001681",3
"151460001682",3
"151460001683",3
"151460001684",3
"151460001685",3
"151460001686",3
"151460001687",3
"151460001688",3
"151460001689",3
"151460001690",3
"151460001691",3
"151460001692",3
"151460001693",3
"151460001694",3
"151460001695",3
"151460001696",1
"151460001697",3
"151460001698",3
"151460001699",3
"151460001700",3
"151460001701",3
